X,Y,TYPE,SPEED,DirType,Direction
-1.18135,41.38757,F090BARUN-330Km456.3LongaresDIRTeruel,0,4,0
-5.94289,43.55417,F090BERKN-632Km100.4AvilésDIRGalicia,0,4,0
-5.92908,43.54425,F090BERKN-632Km98.7AvilésDIRSantander,0,4,0
1.68006,41.59226,F100HCCSA-2Km560.2TúnelElBrucDIRMadrid,0,4,0
-2.13930,38.88224,F090HERAN-322Km327.2BalazoteDIRAlcaraz,0,4,0
-4.72269,41.59463,F100IVANN-601Km183.67Laguna-DueroDIRValladolid,0,4,0
-5.91034,38.96061,F090LANYEX-206Km92.3MedellínDIRDonBenito,0,4,0
-0.20159,38.52716,F090LUISN-332Km141BenidormDIRAlicante,0,4,0
-0.20161,38.52710,F090LUISN-332Km141VillajoyosaDIRBenidorm,0,4,0
0.15408,42.04639,F090POW-N-123Km3.3BarbastroDIRHuesca,0,4,0
-3.82713,40.38698,F100RIBAM-40Km35.3EnlaceA-5DIRA-6,0,4,0
-1.62844,37.52930,F100TECNRM-11Km18.3PuríasDIRÁguilas,0,4,0
-4.74055,36.77433,F090TRCKA-357Km38.9CasarabonelaDIRMálaga,0,4,0
-5.09282,37.22923,F100VTS-A-92Km83.84OsunaDIRSevilla,0,4,0
2.90333,42.13171,F090PHOTN-IIKm736.5OrriolsDIRMadrid,0,4,0
-3.58240,40.59316,F120A300A-1Km24.4CircuitoJaramaDIRMadrid,0,4,0
-0.03487,40.06604,F120TEKACV-10Km26.92PoblaTornesaDIRBorriol,0,4,0
-7.96899,43.19233,F120LUISA-6Km541.3EnlaceN-634DIRMadrid,0,4,0
-4.54490,37.43347,F120MILLA-45Km52.3LucenaDIRCórdoba,0,4,0
-7.15105,42.86270,F120PIKOA-6Km452.27EnlaceBecerreaDIRMadrid,0,4,0
-1.93403,43.31048,F100BERAA-8Km16.5PasajesDIRGalicia,0,4,0
-1.93747,43.31067,F100BERAA-8Km16.8PasajesDIRIrún,0,4,0
-7.30397,42.90827,F120PIKOA-6Km470.05BarallaDIRCoruña,0,4,0
-5.62160,42.54815,F120ACELA-66Km146.5EnlaceAstorgaDIRSevilla,0,4,0
-5.62080,42.54780,F120ACELA-66Km146.6EnlaceOnzonillaDIRGijón,0,4,0
-3.93322,43.42665,F120ARP-A-67Km195.40BooDIRPalencia,0,4,0
2.39636,41.56760,F120DMA-C-60Km3.3ArgentonaDIRGranollers,0,4,0
2.39598,41.56791,F120DMA-C-60Km3.4ArgentonaDIRMataró,0,4,0
-5.52407,39.88710,F120EMBOA-5Km179.1NavalmoralDIRMadrid,0,4,0
-5.57132,39.87210,F120EMBOA-5Km183.8NavalmoralDIRBadajoz,0,4,0
0.79046,41.63669,F120JAAMA-2Km477.4Bell-llocDIRMadrid,0,4,0
-4.29701,40.74400,F120JUINAP-6Km70.0ElCalocoDIRMadrid,0,4,0
-0.58838,38.30613,F120KAPEA-70Km23.4SalidaAeropuertoDIRValencia,0,4,0
-2.87261,42.99009,F120Kx0-AP-68Km33.06AltoAltubeDIRBilbao,0,4,0
-3.58726,40.57120,F120CESAA-1Km22.09AlcobendasDIRIrún,0,4,0
2.29460,41.48318,F120MARCC-32NordKm85AlellaDIRTarragona,0,4,0
-5.71954,43.51819,F120NAREA-8Km385.2ViaductoSomonteDIRIrún,0,4,0
-6.98907,42.68747,F120ACARA-6Km426.7PtoPiedrafitaDIRMadrid,0,4,0
1.29735,41.66638,F120PLAYA-2Km522CerveraDIRFrancia,0,4,0
-3.85600,40.48240,F120SAMPA-6Km16.8LasRozasDIRCoruña,0,4,0
-5.72983,43.51536,F120SDKNA-8Km386.1ViaductoSomonteDIRGalicia,0,4,0
-5.82532,43.52590,F120SMIRA-8Km396EnlaceTabazaDIRGalicia,0,4,0
-0.39731,42.14736,F040A300HuescaRondaIndustria-ManhattanDIROeste,0,4,0
-0.38824,42.14502,F040A300HuescaRondaIndustria-VolkswagenDIRManhattan,0,4,0
-2.43818,42.45866,F030AJOALogroñoAvLobete-1DIRZaragoza,0,4,0
-2.43706,42.45880,F030AJOALogroñoAvLobete-2DIRBurgos,0,4,0
-2.43264,42.45899,F030AJOALogroñoAvLobete-3DIRZaragoza,0,4,0
-2.43360,42.46903,F030AJOALogroñoAvMadreDiosDIRSanMillán,0,4,0
-2.45134,42.44325,F030AJOALogroñoAvMadrid-1DIRN,0,4,0
-2.45152,42.44318,F030AJOALogroñoAvMadrid-2DIRSoria,0,4,0
-2.45262,42.45878,F040AJOALogroñoDuquesdeNájeraDIRAmbas,0,4,0
-2.45492,42.46855,F030AJOALogroñoG.UrrutiaDIRCentro,0,4,0
-8.77492,42.20951,F040PICAVigoPlayaSamilDIRNorte,0,4,0
-2.71036,43.06429,F050ALANN-240Km38.6PtoBarázarDIRBilbao,0,4,0
-3.66863,40.45905,F050AUDIMadridTúnelCostaRicaDIRCentro,0,4,0
-3.63813,40.53818,F050AXIOAlcobendasPaseolaChoperaDIRMadrid,0,4,0
-4.73161,41.65775,F050A300ValladolidIsabelCatólicaDIRA,0,4,0
-4.73250,41.64283,F050RASIPHospitalMDIRA,0,4,0
-4.74648,41.63754,F050FLYValladolidAvSalamancaMuseoCienciaDIRA,0,4,0
-4.72551,41.65899,F050FLYValladolidAvStaTeresaDIRIsabelLaCatólica,0,4,0
-0.50530,38.35016,F050FREDAlicantePuenteRojoDIRAvUniversidad,0,4,0
-4.44174,36.69206,F050IRIBMálagaCallePacíficoCarrillaChupaDIRCádiz,0,4,0
-4.38613,36.72142,F050IRIBN-340MálagaPaseoMarítimoBañosCarmenDIRAlmería,0,4,0
-4.44316,36.73032,F050IRIBMálagaValle-InclánCaminoSuárezDIRCádiz,0,4,0
2.18710,41.44538,F050KIMOBarcelonaMeridianaDIRCentro,0,4,0
-0.50192,38.35493,F050JUALAlicanteDrJiménezDíazDIRPuenteRojo,0,4,0
-2.09620,42.31908,F050AMOSN-232Km371.8VillarArnedoDIRZaragoza,0,4,0
-4.76538,41.63392,F050MADIValladolidCiudaddelaHabanaDIRManuelAzaña,0,4,0
-4.73839,41.63900,F050MADIPoZorrilla-PlTorosDIRA,0,4,0
-0.44375,38.36342,F050NACHAlicanteAlbuferetaDIRPlayaSanJuan,0,4,0
-2.70279,42.83603,F050PBLSVitoriaAltoArmentia-1DIRCentro,0,4,0
-2.70287,42.83610,F050PBLSVitoriaAltoArmentia-2DIRBurgos,0,4,0
-2.70107,42.85400,F050PBLSVitoriaLosHuetos-1DIRCentro,0,4,0
-2.70115,42.85412,F050PBLSVitoriaLosHuetos-2DIRSalida,0,4,0
-8.76381,42.21391,F050PICAVigoAvEuropaDIRA,0,4,0
-8.72106,42.19189,F050PICAVigoPO-330Km2.2VinciosDIRN,0,4,0
-2.90241,43.25006,F050POLOBilbaoBI-631Km3.1AvZumalakárreguiDIRBilbao,0,4,0
-2.90710,43.25137,F050POLOBI-625Km392AvZumalakárreguiDIRA,0,4,0
-0.49678,38.36119,F050RICAAlicanteTeuladaDIRAvUniversidad,0,4,0
-0.46241,38.35508,F050RPKPAlicanteAvVilaJoiosaDIRCentro,0,4,0
4.09471,39.98268,F050TOUZMenorcaME-1Km20.4MercadalDIRCiudadela,0,4,0
4.08933,39.98795,F050TOUZMenorcaME-1Km21.2MercadalDIRMahón,0,4,0
-5.68236,43.52291,F050TRENGijónAvOviedo27DirNE,0,4,0
-5.65583,43.52437,F050TRENGijónCrtraCeares-UrsulinasDIRCentro,0,4,0
-5.68466,43.53740,F050TRENGijónAvJ.CarlosI-1CentroSaludDIRCentro,0,4,0
-5.67912,43.53910,F050TRENGijónAvJ.CarlosI-2ComisaríaDIRLaCalzada,0,4,0
-5.63436,43.53100,F050TRENGijónAvJustodelCastillo-LaGuíaDIRCentro,0,4,0
-5.67488,43.51785,F050TRENGijónCrtraCarbonera-CoralGardenDIRCentro,0,4,0
-5.69074,43.53723,F050TRENGijónPríncipeAsturiasDIRVeriña,0,4,0
0.19159,40.22108,F050TRILN-340Km1010.6TorreblancaDIRBarcelona,0,4,0
0.19148,40.22106,F050TRILN-340Km1010.6TorreblancaDIRValencia,0,4,0
-3.60875,37.23200,F060A300GR-3424Km2.1Peligros-PulianasDIRGranada,0,4,0
-2.37696,39.29540,F060A300N-301Km190.5CasasdeRoldánDIRAlbacete,0,4,0
-2.37130,39.29308,F060A300N-301Km191CasasdeRoldánDIROcaña,0,4,0
-2.96041,43.30174,F060ALANN-637Km11.47EnlaceTxoierriDIRGuecho,0,4,0
-2.74123,43.08878,F060ALBZN-240Km32.5BarázarDIRBilbao,0,4,0
